timestamp,activeOrders, sells,buys, digest

Mon Mar 09 21:46:03 GMT 2015 , 2 , 2 , 0 , 3186827 : { sell 1.5@0.00349564} 3186824 : { sell 1.5@0.00349564} 
Mon Mar 09 21:50:23 GMT 2015 , 2 , 2 , 0 , 3186858 : { sell 1.5@0.00349795} 3186855 : { sell 1.5@0.00349795} 
Mon Mar 09 21:52:33 GMT 2015 , 2 , 2 , 0 , 3186888 : { sell 1.5@0.00349856} 3186885 : { sell 1.5@0.00349856} 
Mon Mar 09 21:54:43 GMT 2015 , 2 , 2 , 0 , 3186926 : { sell 1.5@0.00351003} 3186916 : { sell 1.5@0.00351003} 
Mon Mar 09 21:56:53 GMT 2015 , 2 , 2 , 0 , 3186926 : { sell 1.5@0.00351003} 3186916 : { sell 1.5@0.00351003} 
