timestamp,activeOrders, sells,buys, digest
Mon Mar 09 23:26:53 GMT 2015 , 4 , 2 , 2 , 9235 : { SELL 3.0@0.003522} 9238 : { SELL 3.0@0.003522} 9240 : { BUY 2.292264@0.00349} 9245 : { BUY 1.39106@0.00349} 
Mon Mar 09 23:29:03 GMT 2015 , 4 , 2 , 2 , 9264 : { BUY 2.301496@0.003476} 9268 : { BUY 1.393711@0.003476} 9270 : { SELL 3.0@0.003508} 9271 : { SELL 3.0@0.003508} 
Mon Mar 09 23:31:13 GMT 2015 , 4 , 2 , 2 , 9284 : { BUY 2.301496@0.003476} 9287 : { BUY 1.397356@0.003476} 9288 : { SELL 3.0@0.003508} 9291 : { SELL 3.0@0.003508} 
Mon Mar 09 23:35:33 GMT 2015 , 4 , 2 , 2 , 9304 : { BUY 2.30614@0.003469} 9306 : { BUY 1.400176@0.003469} 9307 : { SELL 3.0@0.0035} 9308 : { SELL 3.0@0.0035} 
Mon Mar 09 23:37:43 GMT 2015 , 4 , 2 , 2 , 9317 : { BUY 2.30614@0.003469} 9320 : { BUY 1.402133@0.003469} 9322 : { SELL 3.0@0.0035} 9325 : { SELL 3.0@0.0035} 
Mon Mar 09 23:39:53 GMT 2015 , 4 , 2 , 2 , 9337 : { BUY 2.30614@0.003469} 9340 : { BUY 1.402133@0.003469} 9341 : { SELL 3.0@0.0035} 9344 : { SELL 3.0@0.0035} 
Mon Mar 09 23:44:13 GMT 2015 , 4 , 2 , 2 , 9350 : { BUY 2.30614@0.003469} 9354 : { BUY 1.402165@0.003469} 9356 : { SELL 3.0@0.0035} 9358 : { SELL 3.0@0.0035} 
Mon Mar 09 23:46:23 GMT 2015 , 4 , 2 , 2 , 9359 : { SELL 3.0@0.003501} 9362 : { SELL 3.0@0.003501} 9363 : { BUY 2.30614@0.003469} 9366 : { BUY 1.402165@0.003469} 
Mon Mar 09 23:48:33 GMT 2015 , 4 , 2 , 2 , 9377 : { BUY 2.30614@0.003469} 9380 : { BUY 1.402006@0.003469} 9381 : { SELL 3.0@0.003501} 9384 : { SELL 3.0@0.003501} 
Mon Mar 09 23:50:44 GMT 2015 , 4 , 2 , 2 , 9377 : { BUY 2.30614@0.003469} 9380 : { BUY 1.402006@0.003469} 9381 : { SELL 3.0@0.003501} 9384 : { SELL 3.0@0.003501} 
Mon Mar 09 23:52:53 GMT 2015 , 4 , 2 , 2 , 9402 : { SELL 3.0@0.003502} 9403 : { SELL 3.0@0.003502} 9404 : { BUY 2.304811@0.003471} 9408 : { BUY 1.401199@0.003471} 
Mon Mar 09 23:55:03 GMT 2015 , 4 , 2 , 2 , 9427 : { BUY 2.409175@0.003466} 9431 : { BUY 1.503788@0.003466} 9432 : { SELL 2.9@0.003497} 9436 : { SELL 2.9@0.003497} 
Mon Mar 09 23:59:24 GMT 2015 , 4 , 2 , 2 , 9451 : { SELL 2.9@0.003498} 9455 : { SELL 2.9@0.003498} 9456 : { BUY 2.40848@0.003467} 9458 : { BUY 1.504739@0.003467} 
Tue Mar 10 00:01:33 GMT 2015 , 4 , 2 , 2 , 9472 : { SELL 2.9@0.003499} 9473 : { SELL 2.9@0.003499} 9474 : { BUY 2.40848@0.003467} 9476 : { BUY 1.504456@0.003467} 
Tue Mar 10 00:03:43 GMT 2015 , 4 , 2 , 2 , 9486 : { BUY 2.40848@0.003467} 9490 : { BUY 1.504364@0.003467} 9492 : { SELL 2.9@0.003499} 9497 : { SELL 2.9@0.003499} 
Tue Mar 10 00:05:53 GMT 2015 , 4 , 2 , 2 , 9486 : { BUY 2.40848@0.003467} 9490 : { BUY 1.504364@0.003467} 9492 : { SELL 2.9@0.003499} 9497 : { SELL 2.9@0.003499} 
Tue Mar 10 00:08:03 GMT 2015 , 4 , 2 , 2 , 9507 : { BUY 2.40848@0.003467} 9508 : { BUY 1.504364@0.003467} 9509 : { SELL 2.9@0.003499} 9510 : { SELL 2.9@0.003499} 
Tue Mar 10 00:10:13 GMT 2015 , 4 , 2 , 2 , 9520 : { BUY 2.40848@0.003467} 9524 : { BUY 1.504364@0.003467} 9525 : { SELL 2.9@0.003498} 9529 : { SELL 2.9@0.003498} 
Tue Mar 10 00:14:33 GMT 2015 , 4 , 2 , 2 , 9543 : { SELL 2.9@0.003499} 9547 : { SELL 2.9@0.003499} 9548 : { BUY 2.407785@0.003468} 9551 : { BUY 1.503991@0.003468} 
Tue Mar 10 00:16:43 GMT 2015 , 4 , 2 , 2 , 9563 : { BUY 2.407785@0.003468} 9566 : { BUY 1.503803@0.003468} 9567 : { SELL 2.9@0.003499} 9568 : { SELL 2.9@0.003499} 
Tue Mar 10 00:18:53 GMT 2015 , 4 , 2 , 2 , 9585 : { BUY 2.913935@0.003466} 9588 : { BUY 2.009429@0.003466} 9589 : { SELL 2.4@0.003497} 9591 : { SELL 2.4@0.003497} 
