timestamp,source,crypto,price,currency,sellprice,buyprice,otherfeeds

Tue Mar 10 00:09:26 GMT 2015,blockchain,BTC,287.14,USD,0.00349829,0.00346695,{"feed":"bitstamp","price":286.25}

Tue Mar 10 00:12:26 GMT 2015,blockchain,BTC,287.08,USD,0.00349902,0.00346767,{"feed":"bitstamp","price":287.21}

Tue Mar 10 00:15:24 GMT 2015,blockchain,BTC,287.08,USD,0.00349902,0.00346767,{"feed":"bitstamp","price":285.36}

Tue Mar 10 00:18:24 GMT 2015,blockchain,BTC,287.21,USD,0.00349744,0.0034661,{"feed":"bitstamp","price":287.11}

Tue Mar 10 00:21:24 GMT 2015,blockchain,BTC,287.09,USD,0.0034989,0.00346755,{"feed":"bitstamp","price":287.08}

Tue Mar 10 00:24:24 GMT 2015,blockchain,BTC,287.09,USD,0.0034989,0.00346755,{"feed":"bitstamp","price":286.15}

Tue Mar 10 00:27:29 GMT 2015,blockchain,BTC,285.44,USD,0.00351913,0.0034876,{"feed":"bitstamp","price":286.4}

Tue Mar 10 00:30:24 GMT 2015,blockchain,BTC,285.44,USD,0.00351913,0.0034876,{"feed":"bitstamp","price":286.3}

Tue Mar 10 00:33:27 GMT 2015,blockchain,BTC,286.59,USD,0.00350501,0.0034736,{"feed":"bitstamp","price":287.11}

Tue Mar 10 00:36:24 GMT 2015,blockchain,BTC,287.5,USD,0.00349391,0.00346261,{"feed":"bitstamp","price":287.88}

Tue Mar 10 00:39:28 GMT 2015,blockchain,BTC,287.5,USD,0.00349391,0.00346261,{"feed":"bitstamp","price":287.98}

Tue Mar 10 00:42:24 GMT 2015,blockchain,BTC,287.97,USD,0.00348821,0.00345696,{"feed":"bitstamp","price":287.76}

